count,hate_speech,offensive_language,neither,class,tweet,clean_text
3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,woman shouldnt complain clean house. amp man trash out...
3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,boy dats cold...tyga dwn bad cuffin dat hoe 1st place
3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,dawg fuck bitch start confuse shit
3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,look like tranny
6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shit hear true faker bitch tell ya
3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit just blow me..claim faithful somebody fuck hoe
3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",just sit hate bitch .. get shit go
3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,cause im tire big bitch come skinny girls
3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp ya bitch amp thats
3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobbies include fight mariam bitch
3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve lol walk conversation like this. smh
3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke losers yea ... ig
3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitch thing like
3,1,2,0,1,""" bitch get up off me """,bitch
3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
3,0,3,0,1,""" bitch plz whatever """,bitch plz
3,1,2,0,1,""" bitch who do you love """,bitch love
3,0,3,0,1,""" bitches get cut off everyday B """,bitch cut everyday b
3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
3,0,3,0,1,""" broke bitch cant tell me nothing """,break bitch tell
3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like nino
3,0,3,0,1,""" cant you see these hoes wont change """,hoe wont change
